seed,ori_res,mag_res,ang_res,runtime,num_nodes,num_targets,total_delta_ang,total_len,smoothness,work
0,15,0.5,0.5,42.69500017166138,1889,173,13.600000000000005,11.9302880146385,1.1399557146745127,7.671861266625695
0,30,0.5,0.5,124.05092239379883,7153,1468,26.182400000000005,16.803733235941536,1.5581299484092275,10.415057259030046
0,45,1.0,1.0,24.963600158691406,6180,958,22.9312,19.189452881697644,1.19498977596548,14.168512093488054
0,60,1.0,1.0,15.309512376785278,4670,1250,15.897600000000004,11.124802948497482,1.429023064372312,6.940160174570348
0,90,2.0,2.0,10.322849035263062,7753,1969,14.873600000000003,14.417228990981444,1.031654557842151,8.556227516582714
0,180,2.0,2.0,9.187147855758667,8138,2166,24.844800000000006,17.122850744403824,1.4509733438002377,8.819229154153906
1,15,0.5,0.5,63.240147829055786,2729,281,15.612799999999998,12.71335010192412,1.2280634038102243,6.371502049349177
1,30,0.5,0.5,59.94172525405884,4698,674,14.774400000000005,15.48862032564487,0.9538874147194173,8.090698829687138
1,45,1.0,1.0,21.13831329345703,5410,823,18.521600000000003,15.560663553366501,1.190283430811208,8.569464942089581
1,60,1.0,1.0,14.256447553634644,3933,662,23.51360000000001,17.701573034078734,1.328333925732593,10.560256506838229
1,90,2.0,2.0,7.385158538818359,5752,1318,20.934400000000004,17.790225932167296,1.1767360392060895,10.799561349800525
1,180,2.0,2.0,13.741064310073853,10655,3400,31.007999999999996,21.676111719570766,1.430514863604607,14.071696346897525
2,15,0.5,0.5,128.20491433143616,4321,598,17.744,12.969721925352957,1.3681095170833524,8.134918454000987
2,30,0.5,0.5,22.90046763420105,1708,196,14.083200000000005,14.056677532688798,1.0018868233442453,7.437883841447643
2,45,1.0,1.0,48.9595673084259,11420,2173,20.0896,14.262827625812509,1.4085285559815885,8.063823345557735
2,60,1.0,1.0,6.649229526519775,2174,317,15.616,15.717102734770734,0.9935673427554135,8.803865964902911
2,90,2.0,2.0,7.329889297485352,5764,1270,21.0816,18.001731683950766,1.171087335936412,10.797176110526713
2,180,2.0,2.0,6.762396812438965,5923,1563,21.52960000000001,15.43897284827036,1.3944969145024428,10.964305113365615
